Entity,Code,Year,Annual CO2 emissions
Brazil,BRA,1961,49136050
Brazil,BRA,1962,53613250
Brazil,BRA,1963,55523040
Brazil,BRA,1964,56626316
Brazil,BRA,1965,56279224
Brazil,BRA,1966,64162424
Brazil,BRA,1967,66032556
Brazil,BRA,1968,77224150
Brazil,BRA,1969,84088420
Brazil,BRA,1970,93488200
Brazil,BRA,1971,102337050
Brazil,BRA,1972,114018824
Brazil,BRA,1973,132060776
Brazil,BRA,1974,143015700
Brazil,BRA,1975,150326580
Brazil,BRA,1976,154606980
Brazil,BRA,1977,162363360
Brazil,BRA,1978,177117180
Brazil,BRA,1979,187787150
Brazil,BRA,1980,186190690
Brazil,BRA,1981,171324430
Brazil,BRA,1982,171499700
Brazil,BRA,1983,165899790
Brazil,BRA,1984,167567460
Brazil,BRA,1985,180110740
Brazil,BRA,1986,197238400
Brazil,BRA,1987,205967680
Brazil,BRA,1988,207695260
Brazil,BRA,1989,212071060
Brazil,BRA,1990,218658000
Brazil,BRA,1991,229394000
Brazil,BRA,1992,233601000
Brazil,BRA,1993,244306000
Brazil,BRA,1994,254002000
Brazil,BRA,1995,268678000
Brazil,BRA,1996,289311000
Brazil,BRA,1997,306949000
Brazil,BRA,1998,317359000
Brazil,BRA,1999,327256000
Brazil,BRA,2000,340183000
Brazil,BRA,2001,346165980
Brazil,BRA,2002,347765020
Brazil,BRA,2003,344645000
Brazil,BRA,2004,361434000
Brazil,BRA,2005,364371000
Brazil,BRA,2006,368871000
Brazil,BRA,2007,390573000
Brazil,BRA,2008,412638000
Brazil,BRA,2009,389775000
Brazil,BRA,2010,440269020
Brazil,BRA,2011,462580000
Brazil,BRA,2012,498309000
Brazil,BRA,2013,532418020
Brazil,BRA,2014,557901000
Brazil,BRA,2015,529353020
Brazil,BRA,2016,492748000
Brazil,BRA,2017,498266430
Brazil,BRA,2018,478379100
Brazil,BRA,2019,473389800
Brazil,BRA,2020,445208100
Brazil,BRA,2021,498016860
Brazil,BRA,2022,483840580
Brazil,BRA,2023,486470080
China,CHN,1961,570630200
China,CHN,1962,459618080
China,CHN,1963,456779460
China,CHN,1964,460637100
China,CHN,1965,500286370
China,CHN,1966,549459260
China,CHN,1967,460225900
China,CHN,1968,495506560
China,CHN,1969,607683300
China,CHN,1970,807952640
China,CHN,1971,909209700
China,CHN,1972,968645570
China,CHN,1973,1008292600
China,CHN,1974,1028099840
China,CHN,1975,1183215000
China,CHN,1976,1226421200
China,CHN,1977,1340831100
China,CHN,1978,1492777900
China,CHN,1979,1525661200
China,CHN,1980,1494495900
China,CHN,1981,1476487800
China,CHN,1982,1606585000
China,CHN,1983,1694216800
China,CHN,1984,1844828000
China,CHN,1985,1998083000
China,CHN,1986,2104213400
China,CHN,1987,2257738500
China,CHN,1988,2425893600
China,CHN,1989,2463654400
China,CHN,1990,2484854800
